"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Datasheet"
"3V3,BVBAT1,CK1,CMD1,GND1,MCK1,PAIR1,PAIR2,PAIR3,SDMC0,SDMC1,SDMC2,SDMC3,SW1","14","Test Pad","","","",""
"C1,C3,C5,C6,C8,C10,C11,C16,C19,C20,C22,C23,C24,C25,C26,C27,C29,C33,C34","19","100nF","","","","https://www.digikey.ch/de/products/detail/walsin-technology-corporation/0402B104K160CT/6707534?s=N4IgTCBcDaIAwBY5gEIEZEGk0DY4GEAVEAXQF8g"
"C2,C9","2","10uF","","","","https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL10B106MQ8NRNC/3887606?s=N4IgTCBcDaIMIBkCMAGAQqgbAWQIoA4A5AJULhAF0BfIA"
"C4,C12","2","6pF","","","","https://www.digikey.ch/en/products/detail/kemet/CBR02C609C8GAC/21803232"
"C7","1","4.7uF","","","","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL05A475MP5NRNC/3887140?s=N4IgTCBcDaIMIBkAMBWAggFgOwoLIAUUA5AJSLhAF0BfIA"
"C13,C21,C35","3","1uF","","","","https://www.digikey.ch/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604?s=N4IgTCBcDaIMIBkCMAGAQqgrAaQAoA4A5YuEAXQF8g"
"C14","1","22uF","","","","https://www.digikey.ch/de/products/detail/samsung-electro-mechanics/CL05A226MQ5N6J8/7320595?s=N4IgTCBcDaIMIBkAMBWAgmMA2AsgRRQDksApADhAF0BfIA"
"D1,D2,D3,D4,D5,D6,D7","7","40VC","","","","https://www.digikey.ch/de/products/detail/littelfuse-inc/pesd0402-240/6348143"
"D8","1","GREEN LED","","","","https://www.digikey.ch/de/products/detail/liteon/LTST-C190GKT/269230?s=N4IgTCBcDaIDIBUDKCC0BhAjATgAwHEBpBEAXQF8g"
"D9","1","RED LED","","","","https://www.digikey.ch/de/products/detail/liteon/LTST-C191KRKT/386837?s=N4IgTCBcDaIDIBUDKCC0BhAjATkwaQCU8EQBdAXyA"
"D10","1","YELLOW LED","","","","https://www.digikey.ch/de/products/detail/lite-on-inc/ltst-c191krkt/386837"
"F1","1","1A","","","","https://www.digikey.ch/de/products/detail/bel-fuse-inc/0ZCK0020FF2G/4156140?s=N4IgTCBcDaIAwC0DCBpOcxwGJbAcRAF0BfIA"
"J1","1","Micro-SD Slot","","","","https://www.digikey.ch/de/products/detail/hirose-electric-co-ltd/DM3CS-SF/2602739?s=N4IgTCBcDaICIFkDMBhAygWjQMRAXQF8g"
"J2,J3,J4,J5,J6,J7,J8,J9,J14,J15,J16,J17","12","Solder Jumper","","","",""
